"id","name","description","civic_number","street_name","city","province","country","postal_code","public_phone_number","public_email","latitude","longitude"
"96","ZAP - CRE ESTRIE","Routeur ZAP installé chez Conférence Régionale des Élus de l'Estrie.","230","king ouest","Sherbrooke","Quebec","Canada","J1H1P9","819-563-1911","cm@creestrie.qc.ca","45.400095","-71.892639"
"97","ZAP - Hôtel de Ville de Coaticook","ZAP CoaticookHôtel de Ville","150","rue Child","Coaticook","Qc","CANADA","J1A 2B3","819 849-2721",,"45.134380","-71.804425"
"98","ZAP - Terminus Limocar","","80 ","Dépôt","Sherbrooke","Quebec","Canada","J1H 5G1","819-562-8899",,"45.399974","-71.888269"
"99","ZAP - Arena Magog","","100","rue Saint-Alphonse Nord","Magog","Qc","can","J1X 3Y5","819 843-9866",,"45.262448","-72.128552"
"100","ZAP - Restaurant Demers","","936","Rue du Conseil","Sherbrooke","Quebec","Canada","J1G 1L7","819-564-2811",,"45.403681","-71.868789"
"102","ZAP - F1. Parc du Domaine Howard-SDES/local S108","","1308","Boulevard Portland","Sherbrooke","Quebec","Canada","J1H5L9","819-821-5577",,"45.402070","-71.909713"
"104","ZAP - La Piazzetta Magog","Restaurant La Piazzetta de Magog","399","Principale","Magog","Québec","Canada","J1X 2B2","819-843-4044",,"45.266243","-72.153045"
"106","ZAP - Clinique optométrique de Sherbrooke",,"243","King Ouest","Sherbrooke","Quebec","Canada","J4Z 3P2","819 563-1191","charles@cliniqueopto.com","45.399969","-71.893429"
"107","ZAP - Taverne Alexandre","","440","Alexandre","Sherbrooke","Québec","Canada","J1H4T4"," (819) 562-7907",,"45.394513","-71.890495"
"108","ZAP - A2. Maison des arts et de la culture Salle Kruger","","1","Wilfred-Laurier","Bromptonville","Quebec","Canada","J1C 0P3","819-846-1122",,"45.475864","-71.940291"
"109","ZAP - E3. Bibliothèque et Centre Culturel (Rock Forest)","","968","Haut-Bois sud","Rock Forest","Quebec","Canada","J1N2C8","819-823-8676",,"45.369243","-71.989675"
"112","ZAP - Musée de la Nature et des Sciences","","225","Frontenac","Sherbooke","Quebec","Canada","J1H 1K1","819-564-3200",,"45.401446","-71.898452"
"113","ZAP - B4. Édifice Expo-Sherbrooke/grande salle CERAS","","300","rue du Cégep","Sherbrooke","Qc","Canada","J1E 2J9",,,"45.409802","-71.881325"
"116","ZAP - Café Pierre Jean Jase","","550","Montréal","Sherbrooke","Québec","canada","J1H 1E8","819-829-5927",,"45.404967","-71.899563"
"118","ZAP - B6. Centre Culturel et Communautaire du Coeur Immaculé","Centre Culturel et Communautaire du Coeur Immaculé","987","Conseil","Sherbrooke","Quebec","Canada",,,,"45.403991","-71.866907"
"119","ZAP - Centre Dentaire Portland","","1855","de Portland","Sherbrooke","Quebec","Canada","J1J 3V7","819.563.1311",,"45.403772","-71.919770"
"120","ZAP - STS rue du Dépôt","","50","King Ouest","Sherbrooke","Québec","Canada",,"819-564-2687",,"45.402046","-71.888747"
"121","ZAP - Le Tassé","Samuel Lessard-Beaupré","426","Conseil","Sherbrooke","Québec","Canada","J1G1J7","1-819-791-2211","samuellbeaupre@hotmail.com","45.403321","-71.877641"
"122","ZAP - Résidence Coté",,,,,,,,,,NULL,NULL
"123","ZAP - Dobson-Lagassé Entrepreneurship Centre (Bishop's University)","",,,"Sherbrooke","Quebec","Canada","J1M 0C8","819-822-9600, 2701",,"45.365466","-71.845039"
"124","ZAP - Commerce Sherbrooke","","178","Wellington Nord","Sherbrooke","Québec","Canada","J1H 5C5","819-822-6082","info@centrevillesherbrooke.ca","45.404097","-71.892063"
"125","ZAP - E1. Bibliothèque du secteur de Saint-Élie/local 127","","4503","chemin Saint-Roch Nord","Sherbrooke","Quebec","Canada","J1R0K7",,,"45.392472","-72.039604"
"127","ZAP - Eggsfruits King Ouest",,"4200","King Ouest","Sherbrooke","Québec","Canada","J1L 1V5","819-562-8686",,"45.385703","-71.962267"
"128","ZAP - Orthodontiste Dr. Jean Cassar","","75 Bureau 300","Wellington Nord","Sherbrooke","Quebec","Canada","J1H 5A9","819-566-8244",,"45.402593","-71.891049"
"129","ZAP - STS rue du Collège","","400","rue du Cegep","Sherbrooke","Québec","Canada",,"819-564-2687",,"45.411873","-71.884458"
"130","ZAP - Excellence Fitness","Excellence Fitness","1261","King Est","Sherbrooke","Quebec","Canada","J1G1E7","819-562-8524",,"45.409207","-71.860628"
"131","ZAP - Méchant Steak","","111","Wellington N","Sherbrooke","QC","Canada","J1H 5B9","(819) 791-5544",,"45.403182","-71.891415"
"132","ZAP - La Mie d'Orford","","2253","chemin du parc","Orford","Québec","Canada","J1X 8C8","819-847-1352",,"45.309507","-72.164919"
"133","ZAP - AUBERGE D & K","","27","PRINCIPALE SUD","SUTTON","QUEBEC","CANADA","J0E2K0","4505380005",,"45.097991","-72.623106"
"134","ZAP - Pro-Gestion Estrie","","93","Wellington Nord","Sherbrooke","Québec","Canada","J1H 5B6","819-822-6162","information@progestion.qc.ca","45.402880","-71.891226"
"135","ZAP - Domaine Fleurimont","Fax: ?","1875","King Est","Sherbrooke","Québec","Canada","J1G 5G7","(819) 566-5896",,NULL,NULL
"136","ZAP - Sebby's","","83","Queen","Sherbrooke","Québec","Canada","J2M 1J3","819-569-9755",,"45.364179","-71.856410"
"137","ZAP - Mikes Bromont","Mikes Bromont","22","St-Hubert","Bromont","Québec","Canada","J2L 3M8","450-534-0404",,"45.333421","-72.646848"
"138","ZAP - Old Lenoxville Golf Club","Club House","19","chemin du Golf","Sherbrooke","Quebec","Canada","J1M1Z7","819-562-4922",,"45.359021","-71.848183"
"140","ZAP - Dijitec","","4640","Boulevard Bourque","Sherbrooke","Quebec","Canada","J1N 2A8","819-823-9685","servestrie@dijitec.com","45.383942","-71.966140"
"141","ZAP - Ateliers Municipaux Ville de Coaticook","Ateliers Municipaux Ville de Coaticook","77","Ave de la Graviere","Coaticook","Qc","Canada","J1A 3E5",,,"45.131875","-71.814785"
"142","ZAP - Club de Golf du Mont Orford","","3074 ","Chemin du Parc","Orford","Quebec","Canada","J1X3W7","1-819-843-5688",,"45.322492","-72.188446"
"145","ZAP - VOLKSWAGEN ESTRIE","","4465","BOULEVARD BOURQUE","SHERBROOKE","QUEBEC","CANADA","J1N1S4",,,"45.367731","-71.994556"
"148","ZAP - Rotisserie Express","","10","Route 249","Windsor","Québec","Canada","J1S 2T7","819-845-5659",,"45.566328","-72.011989"
"150","ZAP - E4. Centre communautaire optimiste/local 206-1",,"6670","Emery-Fontaine","Rock Forest","Quebec","Canada","J1N2T2","819-864-4043",,"45.347659","-71.992647"
"151","ZAP - Pub du Nord de Sherbrooke","","2437","King Ouest","Sherbrooke","Québec","Canada","J1J 2G7","819-346-7279",,"45.398553","-71.932198"
"152","ZAP - STS rue Cabana","Centre administratif de la S.T.S.","895","Cabana","Sherbrooke","Québec","Canada","J1K 2M3","819-564-2687","informatique@sts.qc.ca","45.391858","-71.928479"
"153","ZAP - Ranch du Spaghetti","Ranch du Spaghetti de Sherbrooke","4210","boul. Bourque","Sherbrooke","Québec","Canada","J1L 1W6","819-847-4091",,"45.385410","-71.963176"
"155","ZAP - Bishop's University (Knowlton Campus)","","99","ch de Knowlton Know ","Lac Brôme ","Québec","Canada","J0E 1V0","(819) 822-9600<br/><a href=http://www.ubishops.ca/",,"45.106752","-72.369331"
"156","ZAP - Siboire","","80","dépôt","Sherbrooke","Québec","Canada","j1h5g1","819-565-3636",,"45.399369","-71.887643"
"157","ZAP - Boston Pizza","","550","Jean-Paul Perreault","Sherbrooke","Quebec","Canada","J1L 3A6","819-565-0606",,"45.406931","-71.959626"
"158","ZAP - Connaught Home","","77","Main","North Hatley","Quebec","CANADA","J0B 2C0",,"massawippi@videotron.ca ","45.275694","-71.973065"
"159","ZAP - D9. Bureau de l’arrondissement du Mont-Bellevue – ext. Aire de repos du Parc Belvédère","","600","rue Thibault","Sherbrooke","Qc","Canada","J1H 5H8",,,"45.374941","-71.892922"
"160","ZAP - Eggspress Du Verger","","127","child","coaticook","quebec","canasa","j1a 2b2","819-849-6376","eggspress@hotmail.ca","45.134385","-71.804445"
"161","ZAP - F5. Centre communautaire de Loisirs de Sherbrooke","","1010","Fairmount","Sherbrooke","Québec","Canada","J1H 3N3","821-5601",,"45.390606","-71.903067"
"162","ZAP - Gestion Socpra","","35","Radisson, bureau 100","Sherbrooke","Quebec","Canada","J1L1E2","(819) 821-7961",,"45.395008","-71.951286"
"163","ZAP - IGA COATICOOK","","265","CHILD","COATICOOK","QUEBEC","CANADA","J1A2B5","819-849-6226","iga08046coaticook@sobeys.com","45.136418","-71.804302"
"164","ZAP - Café Bla-Bla","","2","Wellington Sud","Sherbrooke","Quebec","Canada","J1H 5C7","(819) 565-1366",,"45.401282","-71.890278"
"165","ZAP - Resto-Bar Mi-Vallon","Bruno Beauchesne","4364","Boul. Bourque","Sherbrooke","Québec","Canada","J1N 1S3","819-823-7909",,"45.383942","-71.966140"
"166","ZAP - CDR Estrie","","550","Dufferin","Sherbrooke","Quebec","Canada","J1H 4N1","819-566-0234",,"45.408202","-71.897313"
"167","ZAP - Clinique dentaire Galt","Centre de santé dentaire Rouillard et Arcand","2180","Galt Ouest","Sherbrooke","Qc","Canada","J1K 1K4","819-566-2578","GuyRouillard@Videotron.ca","45.386920","-71.926380"
"169","ZAP - D10. Centre des arts de la scène Jean Besré","","250","rue Dépot","Sherbrooke","Qc","Canada",,,,"45.397757","-71.887472"
"171","ZAP - Media5 Corporation","","4229","Garlock Street","Sherbrooke","Quebec","Canada","J1L2C8","819-829-8749",,"45.407022","-71.967720"
"173","ZAP - Thibault Chevrolet Cadillac Buick GMC","","3839","Rue King Ouest","Sherbrooke","Quebec","Canada","J1L1W7","8195637878",,"45.389499","-71.959848"
"176","ZAP - Toyota Richmond","","151","Route 116","Richmond","Québec","Canada","J0B2H0","819-826-5923",,"45.703780","-72.103520"
"177","ZAP - IGA Cookshire","","35","Principale Est","Cookshire-Eaton","Quebec","Canada","J0B 1M0","(819) 875-5455",,"45.412433","-71.629150"
"178","ZAP - Resto La Muse",,"188","Heriot","Drummondville","Québec","Canada","J2C1K1","819 471-4664",,"45.885740","-72.489799"
"179","ZAP - Jack'O Rock Forest","","5000","Boul. Bourque",,"Qc","Canada","J1N 2K6","819-821-3139",,"45.367500","-71.993816"
"181","ZAP - Canadian Tire","","4100","Josaphat Rancourt","Sherbrooke","Québec","Canada","J1L3C6","819-566-0303",,"45.422823","-71.968297"
"182","ZAP - F4. Parc Jacques Cartier Pavillon Armand Nadeau","Parc Jacques Cartier","200","Marchant","Sherbrooke","Qc","Canada","J1J 3V2",,,"45.395444","-71.916555"
"183","ZAP - Restaurant La Place","","20","ST-JACQUES SUD","COATICOOK","QUEBEC","CANADA","J1A 2N7","819-212-6123",,"45.123974","-71.796601"
"184","ZAP - Pneus & Mécanique Wellington","","570","Wellington Sud","Sherbrooke","Quebec","Canada","J1H 5E4","819-346-5283 ",,"45.394873","-71.886472"
"185","ZAP - D11. Aréna Ivan Dugré","","1250","Galt Ouest","Sherbrooke","Québec","Canada",,,,"45.388399","-71.906752"
"186","ZAP - CLD Memphrémagog","","281","Des Pins","Magog","Quebec","Canada","J1X 2J1","843-8273",,"45.269807","-72.151714"
"187","ZAP - Centre Récréatif Gérard-Couillard","Centre récréatif Gérard CouillardAréna de Coaticook","49","rue Laurence","Coaticook ","Québec","Canada","J1A 2T7","819 849-6116",,"45.133394","-71.799065"
"188","ZAP - Galeries Quatre Saisons","","940","13 ième Avenue Nord","Sherbrooke","Québec","Canada","J1E 3J7","819-674-8667",,"45.421355","-71.870650"
"189","ZAP - RESTAURANT PIZZA PLUS",,"20","ROUTE 116","DANVILLE","QUEBEC","CANADA","J0A 1A0","819 839-2127",,"45.787751","-72.023005"
"190","ZAP - C1. Bibliothèque de Lennoxville","","101","Queen","Lennoxville","Québec","Canada","J1M1J7",,,"45.366422","-71.856857"
"193","ZAP - Restaurant l'entr'amis","","734","13ieme avenue ","sherbrooke","Quebec","CANADA","J1E 3L7","819-346-5227",,"45.419122","-71.872413"
"194","ZAP - D4. Parc du Mont-bellevue chalet Antonio Pinard","","1460","Lalement","Sherbrooke","Québec","Canada","J1H 1X1",,,"45.384443","-71.908399"
"195","ZAP - Val-Estrie Ford Lincoln","","4141","King Ouest","Sherbrooke","Québec","Canada","j1l1p5","819-563-4466","contact@valestrie.com","45.386056","-71.961824"
"196","ZAP - CFLX Radio Communautaire de l'Estrie","","67","Wellington Nord","Sherbrooke","Quebec","Canada","J1H 5A9",,,"45.402466","-71.890970"
"197","ZAP - Champlain College Lennoxville","","2580","College Street","Sherbrooke","Quebec","Canada","J1M 2K3","(819) 564-3666","admissions@crc-lennox.qc.ca","45.366062","-71.843891"
"199","ZAP - Centre culturel Yvonne L. Bombardier","","1002","J. A. Bombardier Valcourt","Valcourt","Québec","Canada","J0E2L0","450 532-1551",,"45.517200","-72.316470"
"204","ZAP - Aeroport de Sherbrooke","","900","chemin de l'Aéroport","Cookshire-Eaton","Qc","Canada","J0B 1M0","819-832-1951","dg@airsherbrooke.org","45.443633","-71.689568"
"206","ZAP - A1. Bibliotheque Gisele-Bergeron","","81","larocque","Bromptonville","Quebec","Canada","J0B1H0","819-846-6645",,"45.474274","-71.945438"
"208","ZAP - Parc national du Mont-Orford","Parc national du Mont-Orford","3321","Chemin du parc","Canton d'Orford (Québec) ","Qc","CAN","J1X 7A2","(819) 843-9855",,"45.314782","-72.175158"
"215","ZAP - D6. Parc Lucien Blanchard-extérieur Aire de repos","","755","Cabana","Sherbrooke","Québec","Canada","J1K 2V1",,,"45.394634","-71.927797"
"216","ZAP - CPE Estrie","Regroupement des Centres de la petite enfance des cantons de l'est","1951","Belvédère Sud","Sherbrooke","Québec","Canada","J1H 5Y3","819-566-7131","communication@cpe-estrie.org","45.403360","-71.891535"
"217","ZAP - Charlie viande fumée","","10","Camirand","Sherbrooke","Québec","Canada","J1H 4J5","819 566-4443",,"45.399115","-71.894930"
"219","ZAP - A4. Centre sportif Philippe Bergeron","Aréna Philippe-Bergeron","50","rue docteur Allard","Sherbrooke","Qc","Canada","J1C 0S4",,,"45.474341","-71.952915"
"220","ZAP - Éco-Café Utopia","","265","Aberdeen","Sherbrooke","Qc","Canada","J1H1W4","819-791-3121",,"45.396167","-71.891445"
"221","ZAP - Université de Sherbrooke 2","Controleur pour les zones suivantes: Agora, Carrefour de l’information, Bibliothèque principale, Centre Culturel et Service des stages et placements.","2500","Boulevard De l'Université","Sherbrooke","Québec","Canada","J1K2R1","(819)821-8000",,"45.379462","-71.926632"
"222","ZAP - Le Liverpool ","","28","Wellington Sud","Sherbrooke","Québec","Canada","J1H 5C7","819-822-3724","info@liverpool.ca","45.400861","-71.889811"
"223","ZAP - Brasserie le Dauphin","","929","king est","sherbrooke","Québec","Canada","j1g 1e3",,,"45.408335","-71.869153"
"224","ZAP - Carrefour jeunesse-emploi de Sherbrooke","","20","Rue Wellington Nord","Sherbrooke","Quebec","Canada","J1H5B7","819-565-2722",,"45.401717","-71.890506"
"225","ZAP - D12. La Société d'Histoire de Sherbrooke","La Société d'histoire de Sherbrooke","275","rue Dufferin","Sherbrooke","Qc","Canada","J1H 4M5",,,"45.405760","-71.894841"
"226","ZAP - Café Aragon",,"1497","Galt Ouest","Sherbrooke","Quebec","Canada","J1H2B3","819-820-0142",,"45.389631","-71.913500"
"228","ZAP - Pneus Shermont","","1350","King Est","Sherbrooke","Quebec","Canada","J1G1E4","819-821-2550","pneussher-mont@videotron.ca","45.409024","-71.857198"
"230","ZAP - Le cafe du Globe","","2330","Galt Ouest","Sherbrooke","Quebec","Canada","J1K 1K5","819 791-0651",,"45.387019","-71.930067"
"231","ZAP - Centre de Productique Intégrée Du Québec Inc","","720","Longpré","Sherbrooke","Québec","Canada","J1G4L3","819-822-8998",,"45.398842","-71.860832"
"233","ZAP - Resto Bar la Galoche","","1065","du marché","acton vale","Québec","Canada","J0H 1A0","450 546-4011",,"45.650063","-72.565556"
"234","ZAP - Club de Golf de Sherbrooke","fax: 563-1549","1000","Musset","Sherbrooke","QC","Canada","J1J 3X4","(819) 569-6534",,"45.414265","-71.927626"
"235","ZAP - F2. Bureau d'information touristique","","785","King Ouest","Sherbrooke","Quebec","Canada","J1H1R8","819-821-1919",,"45.398648","-71.899839"
"238","ZAP - Grace Christian Home","Richard Tracy ou Jim Davidson de Bishop's","1501","Campbell","Sherbrooke","Quebec","Canada","J1M 0C1","819 569-0546","massawippi@videotron.ca","45.342177","-71.843569"
"239","ZAP - Restaurant MIKES","","1705","King Ouest","Sherbrooke","Québec","Canada","J1J 2C9","819-564-1090",,"45.398872","-71.915882"
"240","ZAP - Clinique Dentaire Ayotte et Associés","","91","Peel","Sherbrooke","Québec","Canada","J1H 4J9","819-563-6292",,"45.400467","-71.893958"
"242","ZAP - Brunelle","","10","Main Ouest","Coaticook","QC","Canada","J1A 1P2","819-849-3608","rockh@brunelle.tv","45.131953","-71.813486"
"246","ZAP - SANC","","535","short","sherbrooke","QC","Canada","J1H 2E6","819-566-5373","sanc@sanc-sherbrooke.ca","45.392660","-71.893946"
"247","ZAP - Centre de Beauté Confidence",,"275","King Ouest","Sherbrooke","Québec","Canada","J1H 1R2","819-346-8488","info@confidence.ca","45.400057","-71.893666"
"248","ZAP - D5. Marché de la gare – extérieur  Aire de repos","","510","Minto","Sherbrooke","Qc","Canada","J1H 1T6",,,"45.397169","-71.896548"
"249","ZAP - Carrefour Accès Loisirs","","172","Élaine C.Poirier","Sherbrooke","Québec","Canada","J1H 1Y6","819-821-1995","accesloisirs@aide-internet.org","45.392925","-71.887475"
"250","ZAP - Centre de formation Champlain","","554","de l'Ontario","Sherbrooke","Québec","Canada","J1J3R6",,,"45.406848","-71.907749"
"251","ZAP - Boque Biere","","50","wellington nord","sherbrooke","Québec","Canada",,,,NULL,NULL
"252","ZAP - Cégep de Sherbrooke (17)","Contact: Jean DesharnaisEmail: Jean.Desharnais@cegepsherbrooke.qc.ca","475","rue du Cégep","Sherbrooke","Quebec","Canada","J1E 4K1","(819) 564-6350<br/><a href=http://www.cegepsherbro",,"45.409022","-71.883414"
"253","ZAP - Camping de la Fondation Roger Talbot","Camping de la Fondation Roger Talbot","2070","Avenue du Lac W","Roxton Pond","Qc","Canada",,"450-777-7190","danielgauthier3@hotmail.com","45.458520","-72.649700"
"254","ZAP - MysTea","","22","Wellington Nord","Sherbrooke","QC","Canada",,,,"45.401591","-71.890385"
"257","ZAP - B1. Centre multisport Roland-Dussault","","350","Terril, suite 266","Sherbrooke","Qc","Canada","J1E 3S7","819-564-6226","mailto:bfontaine@cmssherbrooke.ca","45.413474","-71.882505"
"258","ZAP - Restaurant TWIST","","4590","Boulevard Bourque","Sherbrooke","Quebec","Canada","J1N 2A8","819-570-3557","administration@restauranttwist.com","45.375051","-71.981206"
"259","ZAP - Garage René Jacques inc.","","7110","Boul. Bourque","Sherbrooke","Qc","Canada","J1N 3L9","819-864-4278",,"45.383942","-71.966140"
"260","ZAP - Da Toni","Restaurant Da Toni","15","Belvedere nord","Sherbrooke","Quebec","Canada","J1H 4A7","819-346-8441",,"45.398887","-71.897085"
"263","ZAP - Motel des cèdres","Fax: ?","6210 ","Boul. Bourque","Sherbrooke","Québec","Canada","J1N 1H3","819-864-4322",,"45.383942","-71.966140"
"264","ZAP - Resto Chez Dadou","","205","Principal","St-Romain","Québec","Canada","G0Y1L0","4184867575",,"45.748402","-71.006072"
"265","ZAP - Parc national du Mont-Orford 2","Parc national du Mont-Orford","3321","Chemin du parc","Canton d'Orford (Québec)","Qc","CAN","J1X 7A2","(819) 843-9855",,"45.314782","-72.175158"
"267","ZAP - CSSS-IUGS - CLSC 1200 King Est - 2",,,"King Est","Sherbrooke","QC","Canada","J1G 1E4","(819) 780-2222","plallier.csss-iugs@ssss.gouv.qc.ca","45.408818","-71.853617"
"271","ZAP - Stade Julien-Morin","96 Rue Laurence, Coaticook, Qc, J1A 2L5","96","Laurence","Coaticook","QC","Canada","J1A 2L5",,,"45.136866","-71.798859"
"272","ZAP - Piscine Municipale",,"220","Laurence","Coaticook","QC","Canada",,,,"45.134957","-71.799431"
"273","ZAP - Plage Lyster",,,"Chemin des chalets","Coaticook","QC","Canada","J1A 2S4",,,"45.022676","-71.910234"
"274","ZAP - Pavillon Laurence",,"210","Laurence","Coaticook","QC","Canada",,,,"45.134957","-71.799431"
"275","ZAP - Bar à pâtes Mia Pasta",,"1824","King Ouest","Sherbrooke","QC","Canada",,,,"45.398479","-71.920581"
"276","ZAP - CSSS-IUGS - Hôpital et centre d’hébergement Argyll",,"375","rue Argyll","Sherbrooke","QC","Canada","J1J 3H5",,,"45.403716","-71.913298"
"277","ZAP - CSSS-IUGS - Hôpital et centre d’hébergement D’Youville",,"1036","Belvédère Sud","Sherbrooke ","QC","Canada","J1H 4C4",,,"45.390691","-71.896039"
"278","ZAP - CSSS-IUGS -Centre d’hébergement St-Joseph",,"611","Queen-Victoria Nord","Sherbrooke","QC","Canada","J1H 3R6",,,"45.407297","-71.901624"
"279","ZAP - CSSS-IUGS - CLSC 50, rue Camirand",,"50","Camirand","Sherbrooke","QC","Canada","J1H 4J5",,,"45.398775","-71.894493"
"280","ZAP - Café Mazagan",,"340","Belvédère S","Sherbrooke","QC","Canada","J1H 4B5","(819) 791-9191",,"45.395776","-71.894769"
"281","ZAP - Le four à bois d'Orford",,"2197 ","chemin du Parc","Orford","Quebec","Canada","J1X7A2","819-868-0858","info@lefouraboisdorford.com","45.306348","-72.165350"
"283","ZAP - Salon de Quilles Alpha",,"4450","Boul. Bourque","Sherbrooke","QC","Canada","J1N 1S3","(819) 348-4450",,"45.377490","-71.976870"
"289","ZAP - CSSS-IUGS - Édifice 500, rue Murray",,"500","Murray","Sherbrooke","Québec","Canada","J1G 2K6",,,"45.400888","-71.877476"
"290","ZAP - CSSS du Granit",,"3569","Laval","Lac-Megantic","Quebec","Canada","G6B1A5","819-583-0330",,"45.589815","-70.905894"
"291","ZAP - CSSS-IUGS - Centre d’hébergement St-Vincent",,"300","King Est","Sherbrooke","Quebec","Canada","J1G 1B1","819-780-2222","plallier.csss-iugs@ssss.gouv.qc.ca","45.406729","-71.882289"
"293","ZAP - Antidote Food Lab ",,"35","Belvedere N. suite 110","Sherbrooke","Quebec","Canada","J1H 4A7","819-791-9117",,"45.399144","-71.897249"
"295","ZAP - Dany Vaillancourt",,,,,,,,,,NULL,NULL
"296","ZAP - Friterie Laurier",,"1060","Blv. Laurier","St-Hyacinthe","Quebec","Canada","J2T 1K1","450-778-0411",,"45.631346","-72.935625"
"297","ZAP - Restaurant An Phu",,"1105","King Est","Sherbrooke","QC","Canada","J1G 1E5","819-569-1445",,"45.408296","-71.864655"
"298","ZAP - F7. Centre de Foires de Sherbrooke",,"1600","du Plateau-Saint-Joseph","Sherbrooke","QC","Canada",,,,NULL,NULL
"300","ZAP - Restaurant Louis King Ouest",,"1875","King Ouest","Sherbrooke","QC","Canada",,,,"45.398593","-71.920532"
"301","ZAP - CIK Audio Video",,"1979","King Ouest","Sherbrooke","QC","Canada","J1J2E6","819 822 0045",,"45.398610","-71.922188"
"302","ZAP - Mikes King Est",,"735","King Est","Sherbrooke","Quebec","Canada","J1G 1C3","819-565-3030",,"45.407999","-71.873001"
"303","ZAP - La Maison Aube-Lumière",,"3071","12e Avenue N","Sherbrooke","QC","Canada","J1H 5H3",,"info@lamaisonaube-lumiere.qc.ca","45.445095","-71.865692"
"304","ZAP - Pavillon des arts et de la culture de Coaticook",,"116","Wellington","Coaticook","Quebec","Canada","J1A2H7","819-849-6371",,"45.134131","-71.803901"
"305","ZAP - Restaurant Jack-O Coaticook","Restaurant Jack’O Coaticook385 Child, Coaticook, QcJ1A2B5","385","Rue Child","Coaticook","Québec","Canada","J1A2B5",,,"45.138608","-71.807355"
"306","ZAP - Brasserie Fleurimont",,"1325 ","12e Av Nord","Sherbrooke","Quebec","Canada","J1E 3P6",,,"45.425196","-71.871748"
"307","ZAP - Chez Renaud Comptoirs","local 141","2655","King Ouest","Sherbrooke","Quebec","Canada","J1L 2G4",,,"45.398295","-71.937668"
"308","ZAP - OMG Burger",,"1175"," KING OUEST","Sherbrooke","Quebec","Canada","J1H 1S6",,,"45.399034","-71.906762"
"309","ZAP - E2. Centre communautaire Richard Gingras/local 209",,"4503","chemin Saint-Roch Nord","Sherbrooke","Quebec","Canada","J1R 0K7",,,"45.392584","-72.040219"
"311","ZAP - Buffet des Continents",,"340","Belvedere Sud","Sherbrooke","Quebec","Canada","J1H 0E9","819-564-1099","tonycommatas@hotmail.com","45.395821","-71.894430"
"312","ZAP - Resto D’Austin SEMC",,"2188","chemin Nicolas","Austin","Quebec","Canada","J0B  1B0",,,"45.184064","-72.276689"
"313","ZAP - Scores Sherbrooke",,"2800","King Ouest","Sherbrooke","Quebec","Canada","J1L 1Y7",,,"45.397716","-71.941171"
"314","ZAP - Micro Brasserie La Memphré",,"12","Merry Sud","Magog","Quebec","Canada","J1X 3K9",,,"45.266538","-72.155525"
"317","ZAP - Canard Gourmand",,"188","principale est","Farnham","Québec","Canada","J2N 1L4","(450) 337-1229",,NULL,NULL
"318","ZAP - Café Hubert St-Jean",,"4860","Boul. Bourque App. A","Sherbrooke","Quebec","Canada","J1N 2A7","819-348-2233",,"45.372096","-71.986444"
"319","ZAP - MicroAge Sherbrooke",,"740","Galt Ouest","Sherbrooke","Quebec","Canada","J1H 1Z3","819-569-9663",,"45.393842","-71.897231"
"321","ZAP - Spot Jeunesse de Sherbrooke","Cell: 819-820-4793","525","Galt Ouest","Sherbrooke","Québec","Canada","J1H 5J7","819-821-1988",,"45.394511","-71.893678"
